Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '18211.49', '0.04242295']],2023-01-12T04:39:07.056812Z
l2update,BTC-USD,[['sell', '18210.93', '0.02000000']],2023-01-12T04:39:07.059654Z
l2update,BTC-USD,[['sell', '18210.89', '0.01000000']],2023-01-12T04:39:07.059701Z
l2update,BTC-USD,[['buy', '18210.04', '0.37416006']],2023-01-12T04:39:07.059731Z
l2update,BTC-USD,[['sell', '18210.94', '0.00000000']],2023-01-12T04:39:07.062676Z
l2update,BTC-USD,[['buy', '18209.16', '0.04000000']],2023-01-12T04:39:07.068154Z
l2update,BTC-USD,[['sell', '18210.93', '0.00000000']],2023-01-12T04:39:07.068302Z
l2update,BTC-USD,[['sell', '18210.92', '0.02000000']],2023-01-12T04:39:07.076075Z
l2update,BTC-USD,[['sell', '18210.92', '0.00000000']],2023-01-12T04:39:07.081100Z
l2update,BTC-USD,[['sell', '18211.55', '0.08529710']],2023-01-12T04:39:07.081306Z
l2update,BTC-USD,[['buy', '18209.17', '0.04921688']],2023-01-12T04:39:07.083597Z
l2update,BTC-USD,[['buy', '18208.98', '0.00000000']],2023-01-12T04:39:07.087837Z
l2update,BTC-USD,[['sell', '18210.94', '0.02000000']],2023-01-12T04:39:07.088420Z
l2update,BTC-USD,[['buy', '18209.15', '0.00000000']],2023-01-12T04:39:07.089904Z
l2update,BTC-USD,[['buy', '18209.17', '0.07667373']],2023-01-12T04:39:07.096911Z
l2update,BTC-USD,[['buy', '18209.13', '0.00000000']],2023-01-12T04:39:07.101354Z
l2update,BTC-USD,[['buy', '18209.18', '0.12835075']],2023-01-12T04:39:07.108633Z
l2update,BTC-USD,[['buy', '18205.68', '0.82377915']],2023-01-12T04:39:07.133247Z
l2update,BTC-USD,[['buy', '18203.59', '1.16499963']],2023-01-12T04:39:07.133247Z
l2update,BTC-USD,[['buy', '18201.50', '1.64755830']],2023-01-12T04:39:07.133247Z
l2update,BTC-USD,[['buy', '18199.41', '2.32999929']],2023-01-12T04:39:07.133247Z
l2update,BTC-USD,[['buy', '18205.68', '1.09837220']],2023-01-12T04:39:07.240107Z
l2update,BTC-USD,[['buy', '18203.59', '1.55333284']],2023-01-12T04:39:07.240107Z
l2update,BTC-USD,[['buy', '18201.50', '2.19674440']],2023-01-12T04:39:07.240107Z
l2update,BTC-USD,[['buy', '18199.41', '3.10666572']],2023-01-12T04:39:07.240107Z
l2update,BTC-USD,[['buy', '18209.19', '0.04921688']],2023-01-12T04:39:07.252135Z
l2update,BTC-USD,[['buy', '18209.17', '0.02745685']],2023-01-12T04:39:07.258395Z
l2update,BTC-USD,[['buy', '18184.23', '0.04374396']],2023-01-12T04:39:07.276745Z
l2update,BTC-USD,[['sell', '18211.49', '0.00000000']],2023-01-12T04:39:07.371891Z
l2update,BTC-USD,[['sell', '18210.05', '0.08159467']],2023-01-12T04:39:07.421184Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745719']],2023-01-12T04:39:07.425217Z
l2update,BTC-USD,[['buy', '18209.16', '0.00000000']],2023-01-12T04:39:07.426621Z
l2update,BTC-USD,[['sell', '18211.75', '0.03900305']],2023-01-12T04:39:07.428378Z
l2update,BTC-USD,[['sell', '18210.90', '0.00000000']],2023-01-12T04:39:07.430001Z
l2update,BTC-USD,[['sell', '18210.93', '0.02745705']],2023-01-12T04:39:07.432735Z
l2update,BTC-USD,[['sell', '18211.51', '0.05833653']],2023-01-12T04:39:07.433043Z
l2update,BTC-USD,[['sell', '18210.89', '0.00000000']],2023-01-12T04:39:07.435864Z
l2update,BTC-USD,[['sell', '18210.05', '0.03458467']],2023-01-12T04:39:07.455304Z
l2update,BTC-USD,[['sell', '18210.93', '0.00000000']],2023-01-12T04:39:07.459047Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491403']],2023-01-12T04:39:07.469501Z
l2update,BTC-USD,[['sell', '18210.94', '0.07000000']],2023-01-12T04:39:07.493021Z
l2update,BTC-USD,[['sell', '18210.95', '0.00000000']],2023-01-12T04:39:07.497435Z
l2update,BTC-USD,[['sell', '18210.93', '0.12835075']],2023-01-12T04:39:07.501358Z
l2update,BTC-USD,[['sell', '18210.94', '0.02000000']],2023-01-12T04:39:07.506360Z
l2update,BTC-USD,[['sell', '18210.92', '0.05000000']],2023-01-12T04:39:07.523288Z
l2update,BTC-USD,[['sell', '18211.51', '0.00000000']],2023-01-12T04:39:07.609189Z
l2update,BTC-USD,[['sell', '18210.05', '0.08159467']],2023-01-12T04:39:07.681362Z
l2update,BTC-USD,[['sell', '18228.32', '0.00000000']],2023-01-12T04:39:07.681699Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745719']],2023-01-12T04:39:07.685413Z
l2update,BTC-USD,[['sell', '18210.93', '0.15580779']],2023-01-12T04:39:07.696832Z
